"","name","inDegree1","outDegree1","TotalDegree","betweenness1","inCloseness1","outCloseness1","inDegreeR","outDegreeR","TotalDegreeR","betweennessR","inClosenessR","outClosenessR","inDegreeM","outDegreeM","TotalDegreeM","betweennessM","inClosenessM","outClosenessM","inDegreeE","outDegreeE","TotalDegreeE","betweennessE","inClosenessE","outClosenessE"
"85","Lone Star Circle of Care",2,0,2,0,0.00145793740417367,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,2,0,2,0,0.0020200316458238,0.00198412698412698,1,0,1,0,0.00430932596323436,0.00420168067226891
"86","Master Naturalist",5,0,5,0,0.00145823461782866,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,4,0,4,0,0.002,0.00198412698412698,2,0,2,0,0.00423728813559322,0.00420168067226891
"87","National Center for Appropriate Technology",2,10,12,0.000764005577772765,0.00145281551621609,0.00253256612102732,1,10,11,0.0002427325160131,0.00271725236116082,0.0039724915637948,2,10,12,0.000108908303169034,0.00199600006349106,0.00210937729337119,0,5,5,0,0.00420168067226891,0.00442403539228314
"88","National Wildlife Federation",10,9,19,0.0114656249390049,0.00145516124066241,0.00253390777086325,6,6,12,0.00558559090099825,0.00303747856617947,0.003720037200372,7,5,12,0.00375159559307659,0.00223131110598506,0.00257805933124218,0,1,1,0,0.00420168067226891,0.00421940928270042
"89","Native Plant Society of Texas",6,5,11,0.00430220391384831,0.00145481729583545,0.00253116940664161,1,0,1,0,0.00268817204301075,0.00268096514745308,3,2,5,0.00138214537476337,0.00199600798403194,0.00258985990042169,1,0,1,0,0.00421940928270042,0.00420168067226891
"90","New Braunfels Parks and Recreation Department",2,0,2,0,0.00145635697987513,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"91","North Central Texas Council of Governments",1,8,9,0.00112524259817484,0.00145548133537663,0.00127388126271475,1,5,6,3.62287337332986e-05,0.00268817204301075,0.00271739130434783,1,8,9,2.77221135339358e-05,0.00198807157057654,0.00202427520484216,0,6,6,0,0.00420168067226891,0.00431034482758621
"92","OneStar Foundation",0,9,9,0,0.00125786163522013,0.00128039940721055,0,5,5,0,0.00268096514745308,0.00271739130434783,0,5,5,0,0.00198412698412698,0.00201610478935112,0,2,2,0,0.00420168067226891,0.00423728813559322
"93","Panhandle-Plains Historical Museum",1,8,9,1.11174286340492e-05,0.00125944584382872,0.00128532831720737,0,5,5,0,0.00268096514745308,0.0027471715948365,1,6,7,1.9801509667097e-05,0.00198807157057654,0.00201206438606035,1,0,1,0,0.00421940928270042,0.00420168067226891
"94","Parks and Recreation Department",2,0,2,0,0.00145918598005289,0.00125786163522013,1,0,1,0,0.0030457600890803,0.00268096514745308,2,0,2,0,0.00224581644134088,0.00198412698412698,1,0,1,0,0.00438458549941724,0.00420168067226891
"95","Pecan Street, Inc.",1,0,1,0,0.00145589766909683,0.00125786163522013,1,0,1,0,0.0030426958939964,0.00268096514745308,1,0,1,0,0.00223337181422609,0.00198412698412698,1,0,1,0,0.00438328802086223,0.00420168067226891
"96","Public Citizen",3,0,3,0,0.00145858821886906,0.00125786163522013,2,0,2,0,0.00305381110700653,0.00268096514745308,2,0,2,0,0.00223918801611503,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"97","Recycled Reads",1,3,4,1.58820409057846e-06,0.00125944584382872,0.00128530334939693,0,3,3,0,0.00268096514745308,0.0027027027027027,1,3,4,7.92060386683881e-06,0.00198807157057654,0.00203652794253995,0,3,3,0,0.00420168067226891,0.00425531914893617
